,event_year,event_month,district,landslide_size,fatality_count,injury_count,latitude,longitude
469,2016,05,"along Narayangadh-Muglin, Jalbire, Nepal",small,0.0,0.0,27.8187,85.7734
470,2014,08,Bairagi Thanti Bazaar,medium,0.0,0.0,28.6792,82.6789
471,2016,10,Gulmi,medium,0.0,0.0,28.0461,83.2627
472,2013,07,Myagdi,medium,2.0,0.0,28.3341,83.4966
473,2016,08,Ilam,medium,0.0,0.0,26.7903,88.11
474,2008,09,Nuwakot,medium,2.0,0.0,27.7167,85.15
475,2011,07,Bhojpur,medium,0.0,0.0,27.21819015,86.91913823
476,2014,08,Nuwakot,medium,3.0,0.0,27.8315,85.1638
477,2010,08,Dang,medium,0.0,0.0,27.9937,82.4827
478,2009,12,Palpa,medium,4.0,0.0,27.7211,83.4692
479,2014,08,Sakla-3,medium,2.0,3.0,28.9429,82.3354
480,2007,09,Baglung,medium,0.0,0.0,28.4167,83.6667
481,2008,07,Nuwakot,medium,2.0,0.0,27.92,85.19
482,2010,09,Kathmandu,medium,0.0,0.0,27.7745,85.2401
483,2015,05,Kathmandu,small,0.0,0.0,27.8287,85.5763
484,2014,07,Gorkha,small,0.0,0.0,27.9995,84.6333
485,2008,08,Lamjung,medium,0.0,0.0,28.278,84.35
486,2016,06,Chitwan,small,0.0,0.0,27.832,84.5423
487,2007,09,Sindhupalchok,medium,0.0,0.0,27.7667,85.7
488,2014,08,Rangrung Hydropower Project at Barpak VDC,medium,0.0,0.0,28.2045,84.7387
489,2010,09,"Khadichowr village(?), Mankha VDC, Sinhupalchowk district",medium,0.0,0.0,27.7838,85.8369
490,2011,08,Kalikot,medium,0.0,0.0,29.1657,81.5631
491,2014,04,Upper Madi hydroelectric project,medium,3.0,0.0,28.3511,84.1176
492,2013,07,Syangja,large,1.0,0.0,27.9687,83.9066
493,2011,07,Sindhupalchowk,small,0.0,0.0,27.9512,85.6846
494,2016,08,Dhading,medium,0.0,0.0,27.805,84.9005
495,2013,06,Myagdi,medium,0.0,0.0,28.3952,83.5043
496,2010,09,Arghakhanchi,medium,0.0,0.0,27.8808,83.3395
497,2010,10,Taplejung,medium,1.0,0.0,27.6291,87.9436
498,2011,07,Dumre-Besisahar Road,medium,0.0,0.0,27.9654,84.4107
499,2016,07,Myagdi,medium,0.0,0.0,28.6019,83.3378
500,2008,06,Dhading,medium,4.0,0.0,28.18,85.11
501,2015,03,Humla,medium,0.0,0.0,30.1818,81.4392
502,2011,09,Rukum,medium,7.0,0.0,28.7773,82.4728
503,2013,07,Palpa,medium,1.0,1.0,27.8686,83.6606
504,2008,08,Kathare in Barbhanjyang VDC-8,medium,2.0,0.0,28.03,84.2945
505,2014,07,Dhading,medium,0.0,2.0,27.9639,84.8981
506,2008,08,"Simaltar in Chandibhanjyag VDC-9, Jalbire on Narayangadh-Mugling stretch of the road",medium,0.0,0.0,27.795,84.432
507,2011,07,Dumre-Bandipur Road,medium,0.0,0.0,27.9507,84.415
508,2010,08,Ilam,medium,0.0,0.0,27.1303,87.8711
509,2008,07,Jajarkot,large,10.0,0.0,28.7236,82.1515
510,2008,08,Bhojpur,large,3.0,0.0,27.4385,87.0898
511,2015,07,Sindhuli,small,2.0,0.0,27.0483,86.3248
512,2013,06,Palpa,medium,0.0,0.0,27.8595,83.7711
513,2009,09,Bhojpur,medium,1.0,0.0,27.425,87.0569
514,2015,05,Singati,medium,28.0,10.0,27.7368,86.1636
515,2007,08,Rukum,medium,0.0,0.0,28.6167,82.6167
516,2012,05,Pokhara,large,72.0,0.0,28.52206817,84.07696086
517,2013,07,Solukhumbu,medium,0.0,0.0,27.62,86.84
518,2017,07,Syangja,medium,0.0,0.0,27.9726582,83.76126893
519,2016,06,Tanahu,large,0.0,0.0,27.9869,84.2765
520,2013,06,"Beni-Darbang Road Section, Phaparkhet",medium,0.0,0.0,28.376,83.4946
521,2014,08,Sankhuwasabha,medium,6.0,0.0,27.4083,87.2739
522,2016,07,Khotang,medium,0.0,0.0,27.1748,86.775
523,2016,07,nan,unknown,40.0,20.0,28.0095,83.8669
524,2016,09,Sindhuli,medium,0.0,0.0,27.357968,85.975127
525,2017,06,"Charkilo (??), Narayani Zone, Nepal",small,0.0,0.0,27.795325910000003,84.43283218
526,2016,09,Rasuwa,medium,0.0,0.0,28.18269,85.34304900000001
527,2016,09,"near Fyanglum, Shyafru-Timure section, Nepal-China Gyirong highway, Nepal",unknown,0.0,0.0,28.2622,85.37312499999999
528,2016,10,"Okhareni, Tamghas, Nepal",large,0.0,0.0,28.064974000000003,83.244916
529,2016,09,"Lekhani, Nepal",unknown,0.0,0.0,27.140584,86.39896399999999
530,2016,09,Baglung,medium,4.0,0.0,28.282927,83.58315400000001
531,2016,09,"Khandbari, Nepal",small,1.0,0.0,27.340009,87.196504
532,2017,07,"Martadi, Seti",small,0.0,0.0,29.44260809,81.58545459000001
533,2016,09,"Shantipur, Nepal",medium,1.0,5.0,28.101232,83.405823
534,2016,09,Dhankuta,small,1.0,2.0,26.985606,87.322163
535,2017,06,"Daman, Narayani Zone, Nepal",small,0.0,0.0,27.61274095,85.09556375
536,2016,09,Gorkha,medium,0.0,0.0,28.471897,84.811891
537,2017,04,"Darechok, Narayani, Nepal",small,0.0,0.0,27.85256028,84.55829403
538,2017,07,"Talkot, Bhajang District, Nepal",medium,0.0,0.0,29.61896246,81.322472
539,2017,07,"Rayale, Panauti Municipality, Nepal",medium,1.0,0.0,27.56884999,85.50492198
540,2017,07,"Kabilas, Narayani",medium,0.0,0.0,27.79280733,84.43347027
541,2017,05,"Dhansira, Ghyachok, Gandaki",small,0.0,0.0,28.21798862,84.71592278
542,2017,07,Rasuwa,medium,0.0,0.0,28.13673979,85.31637561
543,2017,07,Bajhang,large,0.0,0.0,29.48397512,81.03043256
544,2017,06,"Bagjhora, Narayani Zone, Nepal",medium,0.0,0.0,27.48969875,85.05138733
545,2017,03,"Mid-Hill Postal Highway, Daram River, Manewa, Righa VDC-7, Righa, Nepal",medium,1.0,0.0,28.190436,83.332177
546,2017,07,Bara,small,0.0,0.0,29.34137027,81.30954554
547,2017,07,Bajura,medium,0.0,0.0,29.39496837,81.37064669
548,2016,09,Baglung,medium,0.0,0.0,28.219177,83.686001
549,2017,04,"Jiteghat (??), Kotbada, Karnali, Nepal",medium,4.0,0.0,29.16952271,81.57140362999999
550,2017,06,"Kalikhola (??), Narayani Zone, Nepal",medium,4.0,1.0,27.8080337,84.43352419
551,2017,03,Baglung,large,1.0,0.0,28.308297,83.17439300000001
552,2018,05,"Tatopani, Bagmati",unknown,0.0,0.0,27.97999198,85.92966652
553,2018,05,"Dobhan, Lumbini",medium,0.0,0.0,27.749223420000003,83.46256178
554,2018,05,"Dobhan, Lumbini",medium,0.0,0.0,27.74602902,83.47972177
555,2018,05,Bajhang,small,1.0,0.0,29.27910301,80.86335953
556,2018,05,"Subeda area, Bahjang district, Nepal",medium,3.0,0.0,29.53013006,81.13982234999999
557,2018,06,Chitwan,medium,0.0,0.0,27.717484430000003,84.44591267
558,2017,08,Kathmandu,unknown,0.0,0.0,27.67978184,85.7300858
559,2017,10,"Siddhartha Rajmarg, Dobhan 32907, Nepal",unknown,0.0,2.0,27.724416,83.469507
560,2017,10,"Tinau rural muncipalty, Dobhan, Nepal.",medium,0.0,0.0,27.745307,83.468846
561,2017,09,"Siddhartha Rajmarg, Butwal, Nepal.",medium,3.0,0.0,27.724234,83.469593
562,2017,09,"Annapurna rural municipality-3, Beni - Jomsom Rd Beni 33200 Nepal.",medium,0.0,0.0,28.545124,83.647074
563,2017,09,"Besisahar - Chame Sadak, Arkhale, Marsyangdi Rural Municipality, Nepal.",medium,0.0,0.0,28.3304035,84.3986218
564,2016,07,"Tansen-Ridi-Tamghas Road, Bhangari, Dubichaur, Resunga 32600, Nepal",unknown,0.0,0.0,28.046302,83.26693900000001
565,2017,09,Gulmi,medium,0.0,0.0,28.051791,83.260372
566,2018,12,Rasuwa,small,0.0,0.0,28.111965,85.31099807000001
567,2018,12,Rasuwa,small,0.0,0.0,28.111965,85.31099807000001
568,2018,09,"Beni, Arthunge, Dhawalagiri",unknown,1.0,3.0,28.34849575,83.55352832
569,2018,08,"Mahendra Rajmarg, Kabilas, Narayani",small,0.0,0.0,27.76322275,84.4711036
570,2018,08,"Kabilas, Narayani. Bharatpur metropolis-29, Ghumaune and Ichhakamana municipality-6, Jalbire",small,0.0,0.0,27.824193410000003,84.46603959
571,2018,08,"Ichhakamana Rural Municipality-6, Jalbire",small,0.0,0.0,27.81856897,84.46740047
572,2018,08,Besi Shahar-Chame road,medium,0.0,0.0,28.17096627,84.43234852
573,2018,08,Bajura,large,0.0,0.0,29.35855118,81.34031998
574,2018,08,Jajarkot,unknown,9.0,0.0,28.82707703,82.39104977000001
575,2018,08,Jajarkot,medium,1.0,12.0,28.69472685,82.21129644
576,2018,08,along Kali River between Nazang and Mangti,unknown,1.0,0.0,29.85124503,80.55415467
577,2018,09,"Baphukhola, Bagchaur, Saylan, Nepal",medium,3.0,0.0,28.5051914,82.39631686999999
578,2018,08,"Barhabise, Bagmati, Nepal",unknown,0.0,0.0,27.79444886,85.91077939
579,2018,09,Nuwakot,unknown,0.0,0.0,27.96216117,83.05240785000001
580,2018,09,Jajarkot,large,8.0,0.0,28.87534178,82.15647284
581,2018,09,Jajarkot,large,0.0,0.0,28.94010644,82.9030682
582,2016,07,"Zhangzangbo River, north of Tatopani, Tibet Autonomous Region, China",large,0.0,0.0,27.97817251,85.9678251
583,2016,07,"Zhangzangbo River, north of Tatopani, Tibet Autonomous Region, China",large,0.0,0.0,27.97116855,85.95418782
584,2018,09,Lamjung,large,2.0,0.0,28.45603884,84.23280357
585,2018,09,Lamjung,large,2.0,0.0,28.29658406,84.38187226
586,2020,09,Sindhupalchok,small,11.0,0.0,27.82936,85.54504
