,event_year,event_month,district,landslide_size,fatality_count,injury_count,latitude,longitude
188,2010,08,Myagdi,medium,0.0,0.0,28.2653,83.6032
189,2015,06,"Kerauja, near Budhi Gandaki River",large,0.0,0.0,28.266,84.8942
190,2010,08,Taplejung,medium,5.0,0.0,27.35,87.6667
191,2014,06,Gulmi,medium,7.0,0.0,28.0816,83.2934
192,2010,10,Palpa,medium,0.0,0.0,27.88159864,83.77762394000001
193,2016,07,Sindhupalchok,medium,0.0,3.0,27.8883,85.5097
194,2009,09,Ramechhap,medium,2.0,0.0,27.3667,86.0868
195,2014,06,Pyuthan,medium,3.0,0.0,28.0054,82.68
196,2010,07,"Jawang, Jogimara VDC-2, Prithvi highway between Muglin and Naubise",medium,0.0,0.0,27.80766085,84.69570744
197,2015,08,Kathmandu,medium,1.0,0.0,28.0297,85.0934
198,2013,08,"Janaprabha Higher Secondary School, Liku",medium,1.0,0.0,29.0387,82.7442
199,2010,08,Panchthar,medium,1.0,0.0,27.07,87.73
200,2016,08,Ilam,medium,0.0,0.0,26.7973,88.1389
201,2015,04,Ghoratabela,large,250.0,0.0,28.2001,85.4611
202,2015,07,Lamjung,medium,0.0,0.0,28.2631,84.2461
203,2016,07,Pyuthan,large,3.0,0.0,28.2091,82.8541
204,2013,08,Baglung,medium,0.0,0.0,28.2741,83.7417
205,2011,08,Parbat,medium,0.0,0.0,28.1901,83.6972
206,2013,09,Khotang,medium,2.0,0.0,27.3414,86.7506
207,2010,09,"Hetauda-Kulekhani rd, Naryani province",medium,0.0,0.0,27.5086,85.0855
208,2016,10,Mahakali river at Bangabagad,medium,0.0,0.0,29.8521,80.553
209,2014,06,Tanahu,small,1.0,0.0,28.2912,83.9422
210,2012,07,Parbat,medium,0.0,0.0,28.0458,83.6695
211,2011,07,Okhaldhunga,medium,0.0,0.0,27.3167,86.5
212,2010,07,Dhading,medium,0.0,0.0,28.02,84.96
213,2013,07,Nawalparasi,medium,0.0,0.0,27.7115,83.9072
214,2015,06,primary health centre in the northern Kolti,medium,0.0,0.0,29.5089,81.6693
215,2015,08,Nala of Tukuchha,medium,0.0,0.0,27.6788,85.514
216,2016,07,Pyuthan,medium,5.0,0.0,28.2856,83.0426
217,2014,08,Shaktikhor-2,medium,1.0,0.0,27.737,84.6073
218,2016,10,Ainapahara in Anbukhaireni Municipality-6,medium,0.0,0.0,27.8987,84.5386
219,2015,05,"khukondole, Tatopani",medium,0.0,0.0,28.0257,85.7262
220,2016,07,Mugu,medium,0.0,0.0,29.5687,82.2837
221,2013,06,Dailekh,medium,0.0,0.0,29.1145,81.6865
222,2012,08,Okhaldhunga,medium,0.0,0.0,27.3172,86.5
223,2016,08,Taplejung,small,0.0,0.0,27.4503,87.74
224,2014,06,Pyuthan,small,4.0,0.0,28.0084,82.821
225,2015,08,Phedi,medium,0.0,0.0,28.2924,83.871
226,2011,07,Tanahu,medium,1.0,0.0,28.0537,83.961
227,2008,08,Ilam,medium,0.0,0.0,26.9122,87.919
228,2009,08,Sankhuwasabha,medium,0.0,0.0,27.6072,86.9985
229,2016,07,Chitwan,medium,0.0,0.0,27.8324,84.5512
230,2015,08,Nuwakot,medium,5.0,0.0,27.8426,85.3418
231,2015,08,Daud VDC-3,medium,5.0,1.0,29.346,81.0083
232,2016,10,Sukaunda hill at Kulekhani,medium,0.0,0.0,27.5778,85.1717
233,2015,09,Luwa Khola,medium,1.0,0.0,26.9865,87.8982
234,2013,06,"Buchi Village, Jagannath Vdc-5",large,0.0,2.0,28.4513,82.2801
235,2015,04,Baluwa bazaar at Simjung-9,large,0.0,0.0,28.1436,84.6979
236,2011,07,Kathmandu,medium,1.0,0.0,27.703,85.3183
237,2008,08,Dahachaur of Sukatiya-8,medium,8.0,0.0,29.9,81.1333
238,2010,07,Syangja,medium,0.0,0.0,28.0306,83.8617
239,2010,09,Dolakha,medium,0.0,0.0,27.59,86.1
240,2010,10,Sattale of Tulsipur Municipality-1 along the Rapti Highway,medium,0.0,0.0,28.1906,82.314
241,2016,06,Narayangadh-Muglin road at Seti Dovan,medium,0.0,0.0,27.8178,84.4443
242,2016,07,Lamjung,large,0.0,0.0,28.1321,84.4723
243,2010,06,"Siddhababa, Donovan-5(?), Siddhartha highway between Tansen and Butwal",medium,0.0,0.0,27.7223,83.4763
244,2010,08,Syangja,medium,1.0,0.0,28.0401,83.8901
245,2011,07,Narayani,medium,0.0,0.0,27.6991,84.4179
246,2016,06,Darchula,medium,1.0,0.0,29.7535,80.4934
247,2007,09,Kalikot,medium,2.0,0.0,29.184,81.6018
248,2008,08,Kalikot,medium,6.0,0.0,29.1964,81.7557
249,2010,09,"Bastitar village(?), Mahankal VDC, Sinhupalchowk district",medium,0.0,0.0,27.8916,85.5036
250,2015,07,Hetauda-Kulekhani road,small,0.0,0.0,27.6314,85.0813
251,2013,09,Baglung,medium,0.0,0.0,28.3962,83.2549
252,2016,07,Bajura,large,0.0,0.0,29.4578,81.4655
253,2015,05,trail between Phillim and Lokpa,small,0.0,0.0,28.4202,84.8996
254,2016,07,Bhojpur,large,0.0,0.0,27.1861,87.1305
255,2009,09,Dolakha,medium,2.0,0.0,27.7667,86.1334
256,2013,09,Baglung,medium,0.0,0.0,28.4493,82.9305
257,2014,11,Modikhola Hydropower Project,small,0.0,0.0,28.2724,83.7412
258,2010,08,Dang,medium,0.0,0.0,28.3884,82.2826
259,2011,07,Parbat,medium,0.0,0.0,28.178,83.6987
260,2010,08,Kalikot,medium,7.0,0.0,29.0834,81.5834
261,2012,09,"Salleri, Phakhel VDC-3 ",medium,0.0,0.0,27.5002,86.5833
262,2016,06,Nuwakot,medium,2.0,1.0,28.0022,85.133
263,2012,08,Dhading,medium,0.0,0.0,27.9783,84.8982
264,2010,08,Myagdi,medium,0.0,1.0,28.54162809,83.64496308000001
265,2015,08,Nuwakot,medium,5.0,0.0,27.8884,85.2118
266,2010,08,Bhaktapur,medium,1.0,0.0,27.6832,85.4434
267,2013,07,Palpa,medium,2.0,0.0,27.8852,83.6275
268,2011,07,Kaski,medium,2.0,0.0,28.2636,83.9724
269,2011,09,Nuwakot,medium,1.0,0.0,27.891,85.149
270,2009,08,Ilam,medium,4.0,0.0,26.908,87.9258
271,2016,06,Rasuwa,medium,0.0,0.0,28.2465,85.3644
272,2012,08,Ramechhap,large,0.0,0.0,27.3329,86.0798
273,2013,08,Parbat,medium,0.0,0.0,28.2826,83.7508
274,2011,07,Khotang,medium,1.0,0.0,27.2317,86.822
275,2010,07,Dang,medium,0.0,0.0,28.2929,82.2617
276,2016,09,"Ghattekhola, Timure",medium,0.0,0.0,28.2568,85.3679
277,2015,07,Baglung,medium,0.0,0.0,28.2748,83.7432
278,2011,07,Palpa,medium,0.0,0.0,27.7172,83.4658
279,2010,09,Chitwan,medium,0.0,0.0,27.7884,84.4866
280,2010,06,Chitwan,medium,0.0,0.0,27.822,84.4935
281,2011,07,"Purtingkada village (320 kilometers west of the capital, Katmandu)",large,6.0,0.0,28.7956,82.2314
282,2009,07,Tanahu,medium,3.0,0.0,27.9586,84.2805
283,2016,01,Narayani Riverside Resort,medium,0.0,0.0,27.7657,84.4694
284,2010,09,Gulmi,medium,0.0,0.0,28.058,83.3588
285,2010,08,Tanahu,medium,0.0,0.0,28.0579,84.0719
286,2010,09,Chitwan,medium,0.0,0.0,27.86624658,84.63118672
287,2011,07,Khotang,medium,0.0,0.0,27.20517346,86.65683342
288,2011,07,Palpa,medium,0.0,0.0,27.7,83.45
289,2014,08,Bara,medium,5.0,2.0,27.8609,85.7763
290,2010,07,Baglung,medium,0.0,0.0,28.3034,83.3773
291,2015,07,Kaski,medium,6.0,13.0,28.2656,83.8188
292,2016,08,Keyarpani of Soti Bazaar in Thumi VDC,medium,1.0,0.0,28.1314,84.8272
293,2013,07,Khundi Khola (River) at Ghan Pokhara Vdc-8,medium,0.0,0.0,28.33321816,84.33062283000001
294,2008,07,Saptari,large,0.0,0.0,27.0,86.71
295,2014,08,Parbat,medium,3.0,0.0,28.2322,83.7228
296,2013,06,Baitadi,medium,0.0,0.0,29.722,80.5118
297,2016,06,"Dhungre, Daldale-Bulingtar road, Nepal",medium,0.0,0.0,27.0927,85.5502
298,2009,09,Baglung,medium,2.0,0.0,28.28,83.55
299,2013,06,Jumla,medium,0.0,0.0,29.0697,82.106
300,2010,08,Taplejung,medium,0.0,0.0,27.2948,87.9377
301,2007,08,Dhading,medium,6.0,0.0,27.863,84.914
302,2007,09,Baitadi,medium,0.0,0.0,29.5333,80.4333
303,2016,07,Pyuthan,medium,3.0,0.0,28.2324,83.0006
304,2013,06,Kalikot,large,12.0,2.0,29.3167,81.5833
305,2008,08,Reep village in Chowk Chisapani VDC-8,medium,3.0,0.0,28.089,84.4125
306,2016,07,Pyuthan,medium,0.0,3.0,28.1836,82.8643
307,2016,07,Taplejung,medium,0.0,0.0,27.5138,87.8086
308,2007,03,Salyan,medium,0.0,0.0,28.3667,82.1667
309,2015,07,Pokhara,medium,1.0,12.0,28.1996,84.0011
310,2015,07,Lumle,medium,27.0,18.0,28.3037,83.8005
311,2011,07,Khotang,medium,0.0,0.0,27.30669194,86.77497513
312,2013,06,Baglung,medium,0.0,0.0,28.2265,82.553
313,2014,12,Rank VDC-2,medium,2.0,0.0,28.3685,82.3731
314,2013,06,"Sainpasela, Malumela Vdc",medium,0.0,0.0,29.5388,80.9963
315,2014,08,Bus park area of Lincon Bazaar in Jiri,medium,4.0,9.0,27.6363,86.2326
316,2007,09,Darchula,medium,0.0,0.0,29.8496,80.5544
317,2015,07,Lampata of Babiyachaur VDC-5,medium,0.0,0.0,28.3853,83.4625
318,2016,06,Rasuwa,small,0.0,0.0,27.758,85.4197
319,2010,09,Banke,medium,1.0,0.0,28.1981,81.8494
320,2010,07,Myagdi,medium,0.0,0.0,28.4763,83.5309
321,2010,08,Nawalparasi,medium,0.0,0.0,27.58124358,83.85213651000001
322,2016,07,Ramechhap,large,0.0,0.0,27.5072,86.1424
323,2013,07,Kalika Secondary School In Kapurkot Of Dhanwang Vdc,medium,0.0,0.0,28.2318,82.3527
324,2016,08,"Karnali Highway, Near Manma",medium,0.0,0.0,29.139,81.623
325,2016,07,Palpa,medium,1.0,0.0,27.7625,83.5165
326,2007,08,Kathmandu,medium,0.0,0.0,29.57990613,80.50476155
327,2009,08,"Jogbuda-4, Malas",medium,0.0,0.0,29.0958,80.3125
328,2013,09,Baglung,medium,0.0,0.0,28.2632,83.3482
329,2009,08,Dadeldhura,medium,1.0,0.0,29.1917,80.8708
330,2010,09,Udayapur,medium,0.0,0.0,26.9796,86.7001
331,2011,08,Kalikot,medium,0.0,0.0,29.1832,81.5999
332,2008,08,Pyuthan,medium,2.0,0.0,28.0993,82.8332
333,2013,08,Khimti Village,medium,7.0,6.0,27.4907,86.1078
334,2008,12,Bajura,medium,3.0,0.0,29.3559,81.3097
335,2014,08,Syalapakhala VDC,medium,1.0,0.0,28.6985,82.7065
336,2012,09," Prithvi Highway,Titrang,Mauwakhola, Jogimara VDC-2",medium,0.0,0.0,27.7923,84.7001
337,2013,11,Syangja,very_large,0.0,0.0,27.9449,83.5109
338,2007,09,Kaski,large,6.0,0.0,28.2333,83.9533
339,2014,07,Baglung,small,0.0,0.0,28.3048,83.6011
340,2010,09,Bara,medium,0.0,0.0,27.7513,85.8166
341,2014,08,Mankha,large,174.0,52.0,27.7702,85.8692
342,2015,09,Mechi Highway,medium,0.0,0.0,26.8797,87.9172
343,2013,06,Baitadi,medium,5.0,0.0,29.5193,80.4687
344,2008,09,Sisuwa and Tamku VDCs in the northern part of Sankhuwasabah,medium,0.0,0.0,27.7649,87.199
345,2014,08,Sindhupalchok,medium,4.0,0.0,27.8868,85.5107
346,2010,10,Kailali,medium,2.0,3.0,28.7038,80.9787
347,2008,06,Mustang,medium,0.0,0.0,28.57,83.45
348,2013,09,Dhuskun Of Sindupalchowk District,medium,2.0,0.0,27.772,85.9052
349,2015,07,Beni-Maldhunga road at Pang,medium,0.0,0.0,28.2635,83.6118
350,2014,06,Pyuthan,medium,9.0,0.0,28.0054,82.68
351,2008,09,Kathmandu,medium,1.0,0.0,27.777,85.3717
352,2014,07,Manma,small,1.0,0.0,29.1491,81.6165
353,2010,08,Dolakha,medium,6.0,0.0,27.6661,86.0332
354,2015,07,Sindhupalchok,medium,0.0,0.0,27.7768,85.8888
355,2015,06,Chyamrangbesi VDC-1 in Kavre district,medium,0.0,0.0,27.4916,85.4416
356,2008,09,Kailali,medium,26.0,0.0,28.833,80.9
357,2009,07,Mugu,medium,3.0,0.0,29.7225,82.5068
358,2010,07,Kaski,medium,0.0,0.0,28.299,84.0366
359,2015,07,Road between Barpak and Muchok,small,0.0,0.0,28.1046,84.6634
360,2016,07,"Maglungkhola Hydro Project, Gumda, Nepal",medium,0.0,0.0,28.2317,84.8756
361,2011,07,"(Landslips occurred in Pokhari, Arkhala, Dhugre, Kamalikot) Kawasoti",medium,0.0,0.0,27.6454,84.125
362,2010,07,Kaski,medium,3.0,0.0,28.22020061,84.17758452
363,2010,06,Sankhuwasabha,medium,0.0,0.0,27.6063,87.2196
364,2013,06,Kathmandu,medium,0.0,0.0,27.8196,85.2114
365,2008,08,Bajura,medium,4.0,0.0,29.3833,81.3167
366,2012,03,Dhading,medium,1.0,0.0,28.1038,85.0548
367,2007,07,Baglung,medium,0.0,0.0,28.2168,83.6666
368,2008,08,Tanahu,medium,3.0,0.0,28.10025822,84.42143526000001
369,2010,08,Kaski,medium,4.0,0.0,28.2598,84.0999
370,2016,07,Gorkha,medium,3.0,3.0,28.298,84.9671
371,2008,09,Western Nepal,medium,0.0,0.0,29.11916258,81.06654395000001
372,2011,09,Ramechhap,medium,3.0,0.0,27.3824,86.0567
373,2015,06,Thade Rivulet at Simkharka of Maijhuwa-4,medium,0.0,0.0,26.9071,87.9217
374,2011,07,"Sisuwakhola, Masyam-5",medium,1.0,0.0,27.6264,83.3789
375,2013,07,Syangja,medium,1.0,0.0,27.9196,83.8799
376,2015,11,Gulmi,medium,3.0,0.0,28.1281,83.3841
377,2017,06,Dolakha,large,4.0,0.0,27.66868142,86.04142972999999
378,2015,07,Tutung in Mudi-8  http://kathmandupost.ekantipur.com/news/2015-07-30/six-dead-in-myagdi-landslides.html,medium,5.0,0.0,28.5167,83.3426
379,2016,09,Rasuwa,medium,0.0,0.0,28.2183,85.3573
380,2008,08,Sankhuwasabha,medium,1.0,0.0,27.499,87.106
381,2008,07,Dhading,medium,8.0,0.0,28.9,80.87
382,2014,09,Talamarang Bazaar-Batase road at Jagarkot,medium,0.0,0.0,27.8519,85.5248
383,2011,09,"Sulichaur village,Nepal",medium,7.0,0.0,28.25,82.7311
384,2013,07,Dhankuta,medium,0.0,0.0,26.9734,87.3412
385,2009,10,Parbat,medium,4.0,0.0,28.1778,83.7
386,2007,08,Gulmi,medium,2.0,0.0,28.0667,83.25
387,2011,07,Sanfe-Mangalsen road,medium,0.0,0.0,29.1265,81.2574
388,2013,08,Gorusinge-Sandhikharkha Road,medium,0.0,0.0,27.8664,83.1036
389,2010,07,Doti,medium,0.0,0.0,29.2675,80.9499
390,2014,07,Far-Western Development Region,medium,2.0,0.0,29.2777,80.9871
391,2013,09,"Budhimorang, Eastern Region",medium,0.0,0.0,26.9149,87.3372
392,2013,07,"Bartung-Ramdi Section, Siddhartha Highway",medium,0.0,0.0,27.859,83.6014
393,2015,06,Taplejung,large,15.0,0.0,27.5905,87.7955
394,2016,04,Nar VDC,small,1.0,0.0,28.678,84.2297
395,2007,08,Khotang,medium,0.0,0.0,27.016,86.85
396,2015,07,Dikhurpokhari VDC,medium,2.0,0.0,28.2798,83.8494
397,2011,07,Arghakhanchi,medium,2.0,0.0,27.7395,83.5753
398,2010,09,Palpa,medium,0.0,0.0,27.9333,83.653
399,2011,08,Solukhumbu,medium,5.0,0.0,27.6674,86.7174
400,2014,07,Surkhet,small,0.0,0.0,28.6881,81.6309
401,2013,06,Kalikot,medium,2.0,1.0,29.378,81.3559
402,2015,06,Kathmandu,small,0.0,0.0,27.7786,85.3867
403,2013,06,Terhathum,medium,0.0,0.0,27.1418,87.7788
404,2016,07,"Pharping-Kulekhani road in Phakel, Makwanpur District, Nepal",medium,0.0,0.0,27.6019,85.225
405,2013,06,Sindhuli,medium,1.0,0.0,28.2717,83.5906
406,2015,05,trail between Phillim and Lokpa,small,0.0,0.0,28.4202,84.8996
407,2012,08,Bhojpur,medium,0.0,0.0,27.404,87.065
408,2012,10,"Dhupu VDC ,  ",large,5.0,0.0,27.4191,87.2714
409,2015,07,Myagdi,medium,1.0,0.0,28.5266,83.2765
410,2011,07,"north of Pattal Bhumeshwor, situated at Basulinga VDC of Baidati district",medium,0.0,0.0,29.5194,80.469
411,2010,09,"Muglin(Mugling)-Naubise part of Prithvi highway,",medium,0.0,0.0,27.7948,84.8566
412,2015,06,Baglung,medium,1.0,0.0,28.2974,83.8
413,2016,07,Bhojpur,large,0.0,0.0,27.1979,87.0809
